Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Bilheteria,Bilheteria_por_minuto,Ano_Lancamento
1,tt0499549,2014-02-24,2014-08-18,"WATCHED. $2,788.0",Avatar,Avatar,https://www.imdb.com/title/tt0499549/,Filme,7.9,162,2009,"Ação, Aventura, Fantasia, Ficção científica",1489938,2009-12-18,James Cameron,2788.0,17.209876543209877,2009.0
2,tt0120338,2014-02-24,2017-12-06,"WATCHED. $2,187.2",Titanic,Titanic,https://www.imdb.com/title/tt0120338/,Filme,8.0,194,1997,"Drama, Romance",1384874,1998-01-16,James Cameron,2187.2,11.27422680412371,1998.0
3,tt2488496,2015-12-24,2016-06-09,"WATCHED. $2,068.2",Star Wars: O Despertar da Força,Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/,Filme,7.7,138,2015,"Ação, Aventura, Ficção científica",1021974,2015-12-17,J.J. Abrams,2068.2,14.98695652173913,2015.0
4,tt0369610,2015-06-23,2016-03-17,"WATCHED. $1,670.4",Jurassic World - O Mundo dos Dinossauros,Jurassic World,https://www.imdb.com/title/tt0369610/,Filme,6.9,124,2015,"Ação, Aventura, Ficção científica",726104,2015-06-11,Colin Trevorrow,1670.4,13.470967741935485,2015.0
5,tt0848228,2014-02-24,2016-01-04,"WATCHED. $1,519.6",Os Vingadores,The Avengers,https://www.imdb.com/title/tt0848228/,Filme,8.0,143,2012,"Ação, Ficção científica",1550681,2012-04-27,Joss Whedon,1519.6,10.626573426573426,2012.0
6,tt2820852,2015-04-13,2016-03-17,"NOT YET WATCHED. $1,516.0",Velozes & Furiosos 7,Fast & Furious 7,https://www.imdb.com/title/tt2820852/,Filme,7.1,137,2015,"Ação, Suspense",438112,2015-04-02,James Wan,1516.0,11.065693430656934,2015.0
7,tt2395427,2015-05-03,2016-03-17,"WATCHED. $1,405.4",Vingadores: Era de Ultron,Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/,Filme,7.3,141,2015,"Ação, Aventura, Ficção científica",994598,2015-04-23,Joss Whedon,1405.4,9.967375886524824,2015.0
8,tt1201607,2014-02-24,2014-02-24,"WATCHED. $1,341.5",Harry Potter e as Relíquias da Morte: Parte 2,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,Filme,8.1,130,2011,"Aventura, Família, Fantasia, Mistério",1039360,2011-07-15,David Yates,1341.5,10.319230769230769,2011.0
9,tt2294629,2014-02-24,2016-03-17,"WATCHED. $1,276.5",Frozen: Uma Aventura Congelante,Frozen,https://www.imdb.com/title/tt2294629/,Filme,7.4,102,2013,"Animação, Aventura, Comédia, Família, Fantasia, Musical",709765,2014-01-03,"Chris Buck, Jennifer Lee",1276.5,12.514705882352942,2014.0
10,tt2771200,2017-03-30,2017-07-25,"WATCHED. $1,262.2",A Bela e a Fera,Beauty and the Beast,https://www.imdb.com/title/tt2771200/,Filme,7.1,129,2017,"Aventura, Família, Fantasia, Musical, Romance",357281,2017-03-16,Bill Condon,1262.2,9.784496124031008,2017.0
11,tt4630562,2017-04-25,2017-07-25,"WILL WATCH. $1,238.8",Velozes & Furiosos 8,The Fate of the Furious,https://www.imdb.com/title/tt4630562/,Filme,6.6,136,2017,"Ação, Policial, Suspense",273032,2017-04-13,F. Gary Gray,1238.8,9.108823529411765,2017.0
12,tt1300854,2014-02-24,2017-05-26,"WATCHED. $1,214.8",Homem de Ferro 3,Iron Man Three,https://www.imdb.com/title/tt1300854/,Filme,7.1,130,2013,"Ação, Aventura, Ficção científica",960906,2013-04-26,Shane Black,1214.8,9.344615384615384,2013.0
13,tt2293640,2015-07-20,2016-03-17,"WATCHED. $1,159.4",Minions,Minions,https://www.imdb.com/title/tt2293640/,Filme,6.4,91,2015,"Animação, Aventura, Comédia, Policial, Família, Ficção científica",282704,2015-06-25,"Kyle Balda, Pierre Coffin",1159.4,12.740659340659342,2015.0
14,tt3498820,2016-05-12,2016-10-08,"WATCHED. $1,153.2",Capitão América: Guerra Civil,Captain America: Civil War,https://www.imdb.com/title/tt3498820/,Filme,7.8,147,2016,"Ação, Ficção científica",921660,2016-04-28,"Anthony Russo, Joe Russo",1153.2,7.844897959183673,2016.0
15,tt1399103,2014-02-24,2014-08-30,"WATCHED. $1,123.8",Transformers: O Lado Oculto da Lua,Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103/,Filme,6.2,154,2011,"Ação, Aventura, Comédia, Ficção científica, Suspense",454235,2011-06-29,Michael Bay,1123.8,7.297402597402597,2011.0
16,tt0167260,2014-02-24,2014-02-24,"WATCHED. $1,119.9",O Senhor dos Anéis: O Retorno do Rei,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,Filme,9.0,201,2003,"Aventura, Drama, Fantasia",2152744,2003-12-25,Peter Jackson,1119.9,5.571641791044777,2003.0
17,tt1074638,2014-02-24,2014-02-24,"WATCHED. $1,108.6",007 - Operação Skyfall,Skyfall,https://www.imdb.com/title/tt1074638/,Filme,7.8,143,2012,"Ação, Aventura, Suspense",769849,2012-11-01,Sam Mendes,1108.6,7.752447552447552,2012.0
18,tt2109248,2014-08-18,2016-03-17,"WATCHED. $1,104.1",Transformers: A Era da Extinção,Transformers: Age of Extinction,https://www.imdb.com/title/tt2109248/,Filme,5.6,165,2014,"Ação, Aventura, Comédia, Ficção científica, Suspense",348433,2014-07-17,Michael Bay,1104.1,6.6915151515151505,2014.0
19,tt1345836,2014-02-24,2016-03-17,"WATCHED. $1,084.9",Batman: O Cavaleiro das Trevas Ressurge,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,Filme,8.4,164,2012,"Ação, Policial, Drama, Suspense",1982660,2012-07-27,Christopher Nolan,1084.9,6.615243902439025,2012.0
20,tt0383574,2014-02-24,2014-02-24,"WATCHED. $1,066.2",Piratas do Caribe: O Baú da Morte,Pirates of the Caribbean: Dead Man's Chest,https://www.imdb.com/title/tt0383574/,Filme,7.4,151,2006,"Ação, Aventura, Fantasia",822086,2006-07-21,Gore Verbinski,1066.2,7.060927152317881,2006.0
21,tt0435761,2014-02-24,2014-02-24,"WATCHED. $1,063.2",Toy Story 3,Toy Story 3,https://www.imdb.com/title/tt0435761/,Filme,8.3,103,2010,"Animação, Aventura, Comédia, Família, Fantasia",964607,2010-06-18,Lee Unkrich,1063.2,10.322330097087379,2010.0
22,tt3748528,2017-01-03,2017-05-18,"WATCHED. $1,056.1",Rogue One: Uma História Star Wars,Rogue One,https://www.imdb.com/title/tt3748528/,Filme,7.8,133,2016,"Ação, Aventura, Ficção científica",751369,2016-12-15,Gareth Edwards,1056.1,7.940601503759398,2016.0
23,tt1298650,2014-02-24,2014-02-24,"WATCHED. $1,045.7",Piratas do Caribe: Navegando em Águas Misteriosas,Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/,Filme,6.6,137,2011,"Ação, Aventura, Fantasia",604472,2011-05-20,Rob Marshall,1045.7,7.632846715328467,2011.0
24,tt3469046,2017-07-25,2017-12-06,"WILL WATCH. $1,032.2still ongoing, not yet final",Meu Malvado Favorito 3,Despicable Me 3,https://www.imdb.com/title/tt3469046/,Filme,6.3,89,2017,"Animação, Aventura, Comédia, Policial, Família, Ficção científica",179225,2017-06-29,"Kyle Balda, Pierre Coffin, Eric Guillon",1032.2,11.597752808988764,2017.0
25,tt0107290,2014-02-24,2014-02-24,"WATCHED. $1,029.2",Jurassic Park: O Parque dos Dinossauros,Jurassic Park,https://www.imdb.com/title/tt0107290/,Filme,8.2,127,1993,"Ação, Aventura, Ficção científica, Suspense",1170170,1993-06-25,Steven Spielberg,1029.2,8.103937007874016,1993.0
26,tt2277860,2016-07-19,2016-12-16,"WATCHED. $1,027.4",Procurando Dory,Finding Dory,https://www.imdb.com/title/tt2277860/,Filme,7.2,97,2016,"Animação, Aventura, Comédia, Família, Fantasia, Mistério",332005,2016-06-30,"Andrew Stanton, Angus MacLane",1027.4,10.591752577319589,2016.0
27,tt0120915,2014-02-24,2014-02-24,"WATCHED. $1,027.0",Star Wars: Episódio I - A Ameaça Fantasma,Star Wars: Episode I - The Phantom Menace,https://www.imdb.com/title/tt0120915/,Filme,6.5,136,1999,"Ação, Aventura, Fantasia, Ficção científica",921662,1999-06-24,George Lucas,1027.0,7.551470588235294,1999.0
28,tt1014759,2014-02-24,2015-06-29,"WATCHED. $1,025.5",Alice no País das Maravilhas,Alice in Wonderland,https://www.imdb.com/title/tt1014759/,Filme,6.4,108,2010,"Aventura, Família, Fantasia, Mistério",466210,2010-04-23,Tim Burton,1025.5,9.49537037037037,2010.0
29,tt2948356,2016-03-26,2016-08-13,"WATCHED. $1,023.1",Zootopia: Essa Cidade é o Bicho,Zootopia,https://www.imdb.com/title/tt2948356/,Filme,8.0,108,2016,"Animação, Ação, Aventura, Comédia, Policial, Família, Mistério",628142,2016-02-18,"Byron Howard, Rich Moore, Jared Bush",1023.1,9.473148148148148,2016.0
30,tt0903624,2014-02-24,2015-08-31,"WATCHED. $1,021.1",O Hobbit: Uma Jornada Inesperada,The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/,Filme,7.8,169,2012,"Aventura, Fantasia",924282,2012-12-14,Peter Jackson,1021.1,6.042011834319527,2012.0
31,tt0468569,2014-02-24,2014-02-24,"WATCHED. $1,004.6",Batman: O Cavaleiro das Trevas,The Dark Knight,https://www.imdb.com/title/tt0468569/,Filme,9.1,152,2008,"Ação, Policial, Drama, Suspense",3146742,2008-07-18,Christopher Nolan,1004.6,6.609210526315789,2008.0
32,tt0241527,2014-02-24,2014-02-24,WATCHED. $974.8,Harry Potter e a Pedra Filosofal,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/,Filme,7.7,152,2001,"Aventura, Família, Fantasia",945896,2001-11-23,Chris Columbus,974.8,6.413157894736842,2001.0
33,tt1690953,2014-02-24,2014-02-24,WATCHED. $970.8,Meu Malvado Favorito 2,Despicable Me 2,https://www.imdb.com/title/tt1690953/,Filme,7.3,98,2013,"Animação, Aventura, Comédia, Policial, Família, Ficção científica",457333,2013-07-05,"Pierre Coffin, Chris Renaud",970.8,9.906122448979591,2013.0
34,tt0110357,2014-02-24,2016-10-08,WATCHED. $968.5,O Rei Leão,The Lion King,https://www.imdb.com/title/tt0110357/,Filme,8.5,88,1994,"Animação, Aventura, Drama, Família, Musical",1251732,1994-07-01,"Roger Allers, Rob Minkoff",968.5,11.005681818181818,1994.0
35,tt3040964,2016-05-12,2016-10-08,WILL WATCH. $966.2,Mogli: O Menino Lobo,The Jungle Book,https://www.imdb.com/title/tt3040964/,Filme,7.3,106,2016,"Animação, Ação, Aventura, Drama, Família, Fantasia, Musical",304797,2016-04-14,Jon Favreau,966.2,9.115094339622642,2016.0
36,tt0449088,2014-02-24,2014-02-24,WATCHED. $963.4,Piratas do Caribe: No Fim do Mundo,Pirates of the Caribbean: At World's End,https://www.imdb.com/title/tt0449088/,Filme,7.2,169,2007,"Ação, Aventura, Fantasia",740625,2007-05-25,Gore Verbinski,963.4,5.700591715976331,2007.0
37,tt0926084,2014-02-24,2015-08-17,WATCHED. $960.3,Harry Potter e as Relíquias da Morte: Parte 1,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,Filme,7.7,146,2010,"Aventura, Família, Fantasia, Mistério",660111,2010-11-19,David Yates,960.3,6.5773972602739725,2010.0
38,tt1170358,2014-02-24,2016-03-17,WATCHED. $958.4,O Hobbit: A Desolação de Smaug,The Hobbit: The Desolation of Smaug,https://www.imdb.com/title/tt1170358/,Filme,7.8,161,2013,"Aventura, Fantasia",750847,2013-12-13,Peter Jackson,958.4,5.9527950310559,2013.0
39,tt2310332,2015-01-02,2016-03-17,WATCHED. $956.0,O Hobbit: A Batalha dos Cinco Exércitos,The Hobbit: The Battle of the Five Armies,https://www.imdb.com/title/tt2310332/,Filme,7.4,144,2014,"Aventura, Fantasia",615076,2014-12-11,Peter Jackson,956.0,6.638888888888889,2014.0
40,tt0373889,2014-02-24,2014-02-24,WATCHED. $939.9,Harry Potter e a Ordem da Fênix,Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/,Filme,7.5,138,2007,"Ação, Aventura, Família, Fantasia, Mistério",695636,2007-07-11,David Yates,939.9,6.810869565217391,2007.0
41,tt0266543,2014-02-24,2014-02-24,WATCHED. $936.7,Procurando Nemo,Finding Nemo,https://www.imdb.com/title/tt0266543/,Filme,8.2,100,2003,"Animação, Aventura, Comédia, Família",1201257,2003-07-04,"Andrew Stanton, Lee Unkrich",936.7,9.367,2003.0
42,tt0417741,2014-02-24,2015-08-17,WATCHED. $934.4,Harry Potter e o Enigma do Príncipe,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,Filme,7.6,153,2009,"Ação, Aventura, Família, Fantasia, Mistério",655746,2009-07-15,David Yates,934.4,6.10718954248366,2009.0
43,tt0167261,2014-02-24,2014-02-24,WATCHED. $926.0,O Senhor dos Anéis: As Duas Torres,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,Filme,8.8,179,2002,"Aventura, Drama, Fantasia",1945619,2002-12-27,Peter Jackson,926.0,5.173184357541899,2002.0
44,tt0298148,2014-02-24,2014-02-24,WATCHED. $919.8,Shrek 2,Shrek 2,https://www.imdb.com/title/tt0298148/,Filme,7.4,93,2004,"Animação, Aventura, Comédia, Família, Fantasia, Romance",552205,2004-06-18,"Andrew Adamson, Kelly Asbury, Conrad Vernon",919.8,9.890322580645162,2004.0
45,tt0330373,2014-02-24,2016-06-18,WATCHED. $896.9,Harry Potter e o Cálice de Fogo,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/,Filme,7.7,157,2005,"Aventura, Família, Fantasia, Mistério",748211,2005-11-25,Mike Newell,896.9,5.7127388535031844,2005.0
46,tt0413300,2014-02-24,2014-02-24,WATCHED. $890.9,Homem-Aranha 3,Spider-Man 3,https://www.imdb.com/title/tt0413300/,Filme,6.3,139,2007,"Ação, Aventura, Ficção científica",695279,2007-05-04,Sam Raimi,890.9,6.409352517985611,2007.0
47,tt1080016,2014-02-24,2014-02-24,WATCHED. $886.7,A Era do Gelo 3,Ice Age: Dawn of the Dinosaurs,https://www.imdb.com/title/tt1080016/,Filme,6.9,94,2009,"Animação, Aventura, Comédia, Família",284436,2009-07-01,"Carlos Saldanha, Michael Thurmeier",886.7,9.432978723404256,2009.0
48,tt2379713,2015-11-25,2016-05-12,WATCHED. $880.7,007 Contra Spectre,Spectre,https://www.imdb.com/title/tt2379713/,Filme,6.8,148,2015,"Ação, Aventura, Suspense",494124,2015-11-05,Sam Mendes,880.7,5.950675675675676,2015.0
49,tt2250912,2017-09-01,2017-12-06,"WATCHED. $880.2still ongoing, not yet final",Homem-Aranha: De Volta ao Lar,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,Filme,7.4,133,2017,"Ação, Aventura, Ficção científica",790704,2017-07-06,Jon Watts,880.2,6.618045112781955,2017.0
50,tt0295297,2014-02-24,2014-02-24,WATCHED. $879.0,Harry Potter e a Câmara Secreta,Harry Potter and the Chamber of Secrets,https://www.imdb.com/title/tt0295297/,Filme,7.5,161,2002,"Aventura, Família, Fantasia, Mistério",761754,2002-11-22,Chris Columbus,879.0,5.459627329192546,2002.0
51,tt1667889,2014-02-24,2014-03-03,"$877.2Didn't watch yet, and not planning to. I don't like this franchise.",A Era do Gelo 4,Ice Age: Continental Drift,https://www.imdb.com/title/tt1667889/,Filme,6.5,88,2012,"Animação, Aventura, Comédia, Família",242351,2012-06-29,"Steve Martino, Michael Thurmeier",877.2,9.968181818181819,2012.0
52,tt2709768,2016-08-26,2017-10-13,WILL WATCH. $875.5,Pets: A Vida Secreta dos Bichos,The Secret Life of Pets,https://www.imdb.com/title/tt2709768/,Filme,6.5,86,2016,"Animação, Aventura, Comédia, Família",234552,2016-08-25,Chris Renaud,875.5,10.180232558139535,2016.0
53,tt2975590,2016-04-05,2016-07-04,WILL WATCH. $872.7,Batman vs Superman: A Origem da Justiça,Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/,Filme,6.4,151,2016,"Ação, Aventura, Ficção científica",789134,2016-03-24,Zack Snyder,872.7,5.779470198675497,2016.0
54,tt0120737,2014-02-24,2014-02-24,WATCHED. $871.5,O Senhor dos Anéis: A Sociedade do Anel,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,Filme,8.9,178,2001,"Aventura, Drama, Fantasia",2194161,2002-01-01,Peter Jackson,871.5,4.896067415730337,2002.0
55,tt7131870,2017-09-13,2017-09-28,"DIDN'T WATCH. $870.3still ongoing, not yet final",Lobo Guerreiro 2,Zhan lang II,https://www.imdb.com/title/tt7131870/,Filme,5.9,123,2017,"Ação, Aventura, Drama, Suspense, Guerra",9567,2018-11-05,Jing Wu,870.3,7.075609756097561,2018.0
56,tt1951264,2014-02-24,2016-01-02,WATCHED. $865.0,Jogos Vorazes: Em Chamas,The Hunger Games: Catching Fire,https://www.imdb.com/title/tt1951264/,Filme,7.5,146,2013,"Ação, Aventura, Ficção científica, Suspense",770134,2013-11-15,Francis Lawrence,865.0,5.924657534246576,2013.0
57,tt3896198,2017-05-26,2017-10-25,WATCHED. $863.5,Guardiões da Galáxia Vol. 2,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,Filme,7.6,136,2017,"Ação, Aventura, Comédia, Fantasia, Ficção científica",824140,2017-04-27,James Gunn,863.5,6.349264705882353,2017.0
58,tt2096673,2015-08-10,2016-03-17,WATCHED. $856.8,Divertida Mente,Inside Out,https://www.imdb.com/title/tt2096673/,Filme,8.1,95,2015,"Animação, Aventura, Comédia, Drama, Família, Fantasia",908019,2015-06-18,"Pete Docter, Ronnie Del Carmen",856.8,9.018947368421053,2015.0
59,tt0121766,2014-02-24,2014-02-24,WATCHED. $848.8,Star Wars: Episódio III - A Vingança dos Sith,Star Wars: Episode III - Revenge of the Sith,https://www.imdb.com/title/tt0121766/,Filme,7.7,140,2005,"Ação, Aventura, Fantasia, Ficção científica",916307,2005-05-19,George Lucas,848.8,6.062857142857142,2005.0
60,tt1055369,2014-02-24,2014-02-24,WATCHED. $836.3,Transformers: A Vingança dos Derrotados,Transformers: Revenge of the Fallen,https://www.imdb.com/title/tt1055369/,Filme,6.0,149,2009,"Ação, Aventura, Ficção científica",452530,2009-06-23,Michael Bay,836.3,5.612751677852349,2009.0
61,tt1673434,2014-02-24,2014-02-24,WATCHED. $829.7,A Saga Crepúsculo: Amanhecer - Parte 2,The Twilight Saga: Breaking Dawn - Part 2,https://www.imdb.com/title/tt1673434/,Filme,5.6,115,2012,"Aventura, Drama, Fantasia, Romance",280956,2012-11-15,Bill Condon,829.7,7.214782608695653,2012.0
62,tt1375666,2014-02-24,2014-02-24,WATCHED. $825.5,A Origem,Inception,https://www.imdb.com/title/tt1375666/,Filme,8.8,148,2010,"Ação, Aventura, Ficção científica, Suspense",2797334,2010-08-06,Christopher Nolan,825.5,5.577702702702703,2010.0
63,tt0451279,2017-07-10,2017-11-20,WATCHED. $821.8,Mulher-Maravilha,Wonder Woman,https://www.imdb.com/title/tt0451279/,Filme,7.3,141,2017,"Ação, Aventura, Fantasia, Ficção científica, Guerra",733468,2017-06-01,Patty Jenkins,821.8,5.8283687943262406,2017.0
64,tt0145487,2014-02-24,2014-02-24,WATCHED. $821.7,Homem-Aranha,Spider-Man,https://www.imdb.com/title/tt0145487/,Filme,7.4,121,2002,"Ação, Aventura, Ficção científica",961415,2002-05-17,Sam Raimi,821.7,6.790909090909091,2002.0
65,tt3501632,2017-11-20,2017-12-06,"WATCHED. $818.5still ongoing, not yet final",Thor: Ragnarok,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,Filme,7.9,130,2017,"Ação, Aventura, Comédia, Fantasia, Ficção científica",889322,2017-10-26,Taika Waititi,818.5,6.296153846153846,2017.0
66,tt0116629,2014-02-24,2014-08-18,WATCHED. $817.4,Independence Day,Independence Day,https://www.imdb.com/title/tt0116629/,Filme,7.0,145,1996,"Ação, Aventura, Ficção científica",644341,1996-08-01,Roland Emmerich,817.4,5.637241379310344,1996.0
67,tt3183660,2016-12-16,2017-04-03,WATCHED. $812.5,Animais Fantásticos e Onde Habitam,Fantastic Beasts and Where to Find Them,https://www.imdb.com/title/tt3183660/,Filme,7.2,132,2016,"Aventura, Família, Fantasia",538619,2016-11-17,David Yates,812.5,6.15530303030303,2016.0
68,tt0413267,2014-02-24,2014-02-24,WATCHED. $799.0,Shrek Terceiro,Shrek the Third,https://www.imdb.com/title/tt0413267/,Filme,6.1,93,2007,"Animação, Aventura, Comédia, Família, Fantasia, Romance",358883,2007-06-15,"Chris Miller, Raman Hui",799.0,8.591397849462366,2007.0
69,tt0304141,2014-03-03,2014-03-03,WATCHED. $796.7,Harry Potter e o Prisioneiro de Azkaban,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,Filme,7.9,142,2004,"Aventura, Família, Fantasia, Mistério",762414,2004-06-04,Alfonso Cuarón,796.7,5.6105633802816905,2004.0
70,tt1790809,2017-06-30,2017-10-25,"WATCHED. $794.8still ongoing, not yet final",Piratas do Caribe: A Vingança de Salazar,Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/,Filme,6.5,129,2017,"Ação, Aventura, Fantasia",382706,2017-05-25,"Joachim Rønning, Espen Sandberg",794.8,6.161240310077519,2017.0
71,tt0083866,2014-03-03,2014-03-03,WATCHED. $792.9,E.T.: O Extraterrestre,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,Filme,7.9,115,1982,"Aventura, Família, Ficção científica",469785,1982-12-25,Steven Spielberg,792.9,6.894782608695652,1982.0
72,tt1905041,2014-03-03,2015-08-04,$788.7.DIDN'T WATCH YET. Don't know if I could stand watching this one knowing that Paul Walker died,Velozes & Furiosos 6,Furious 6,https://www.imdb.com/title/tt1905041/,Filme,7.0,130,2013,"Ação, Suspense",438529,2013-05-24,Justin Lin,788.7,6.066923076923077,2013.0
73,tt0367882,2014-03-03,2014-03-03,WATCHED. $786.6,Indiana Jones e o Reino da Caveira de Cristal,Indiana Jones and the Kingdom of the Crystal Skull,https://www.imdb.com/title/tt0367882/,Filme,6.2,122,2008,"Ação, Aventura",512476,2008-05-21,Steven Spielberg,786.6,6.447540983606557,2008.0
74,tt0316654,2014-03-03,2014-03-03,WATCHED. $783.8,Homem-Aranha 2,Spider-Man 2,https://www.imdb.com/title/tt0316654/,Filme,7.5,127,2004,"Ação, Aventura, Ficção científica",778791,2004-07-02,Sam Raimi,783.8,6.1716535433070865,2004.0
75,tt1431045,2016-03-15,2016-07-19,WATCHED. $782.0,Deadpool,Deadpool,https://www.imdb.com/title/tt1431045/,Filme,8.0,108,2016,"Ação, Comédia, Ficção científica",1246919,2016-02-11,Tim Miller,782.0,7.2407407407407405,2016.0
76,tt0076759,2014-03-03,2014-03-03,WATCHED. $775.4,Star Wars: Episódio IV - Uma Nova Esperança,Star Wars,https://www.imdb.com/title/tt0076759/,Filme,8.6,121,1977,"Ação, Aventura, Fantasia, Ficção científica",1562197,1978-01-30,George Lucas,775.4,6.4082644628099175,1978.0
77,tt2015381,2014-10-05,2016-03-17,WATCHED. $773.3,Guardiões da Galáxia,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,Filme,8.0,121,2014,"Ação, Aventura, Comédia, Ficção científica",1356920,2014-07-31,James Gunn,773.3,6.390909090909091,2014.0
78,tt1190080,2014-03-03,2014-03-03,WATCHED. $769.7,2012,2012,https://www.imdb.com/title/tt1190080/,Filme,5.9,158,2009,"Ação, Aventura, Ficção científica",420250,2009-11-13,Roland Emmerich,769.7,4.871518987341773,2009.0
79,tt1587310,2014-08-18,2016-03-17,WATCHED. $758.5,Malévola,Maleficent,https://www.imdb.com/title/tt1587310/,Filme,6.9,97,2014,"Aventura, Drama, Família, Fantasia, Romance",422964,2014-05-29,Robert Stromberg,758.5,7.819587628865979,2014.0
80,tt0382625,2014-03-03,2014-03-03,WATCHED. $758.2,O Código Da Vinci,The Da Vinci Code,https://www.imdb.com/title/tt0382625/,Filme,6.7,149,2006,"Mistério, Suspense",484369,2006-05-19,Ron Howard,758.2,5.088590604026846,2006.0
81,tt0948470,2014-03-03,2014-10-14,WATCHED. $757.9,O Espetacular Homem-Aranha,The Amazing Spider-Man,https://www.imdb.com/title/tt0948470/,Filme,6.9,136,2012,"Ação, Ficção científica",759708,2012-07-06,Marc Webb,757.9,5.572794117647058,2012.0
82,tt1951265,2014-12-21,2015-12-04,WATCHED. $755.4,Jogos Vorazes: A Esperança - Parte 1,The Hunger Games: Mockingjay - Part 1,https://www.imdb.com/title/tt1951265/,Filme,6.6,123,2014,"Ação, Aventura, Ficção científica, Suspense",543360,2014-11-19,Francis Lawrence,755.4,6.1414634146341465,2014.0
83,tt0892791,2014-03-03,2014-03-03,WATCHED. $752.6,Shrek Para Sempre,Shrek Forever After,https://www.imdb.com/title/tt0892791/,Filme,6.3,93,2010,"Animação, Aventura, Comédia, Família, Fantasia, Romance",244340,2010-07-09,Mike Mitchell,752.6,8.09247311827957,2010.0
84,tt1877832,2014-08-18,2016-03-17,WATCHED. $747.9,X-Men: Dias de um Futuro Esquecido,X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/,Filme,7.9,132,2014,"Ação, Aventura, Ficção científica, Suspense",785647,2014-05-22,Bryan Singer,747.9,5.665909090909091,2014.0
85,tt1277953,2014-03-03,2014-03-03,WATCHED. $746.9.,Madagascar 3: Os Procurados,Madagascar 3: Europe's Most Wanted,https://www.imdb.com/title/tt1277953/,Filme,6.8,95,2012,"Animação, Aventura, Comédia, Família",216020,2012-06-07,"Eric Darnell, Tom McGrath, Conrad Vernon",746.9,7.862105263157894,2012.0
86,tt1386697,2016-09-08,2016-11-13,WILL WATCH. $745.6,Esquadrão Suicida,Suicide Squad,https://www.imdb.com/title/tt1386697/,Filme,5.9,123,2016,"Ação, Aventura, Fantasia, Ficção científica",757156,2016-08-04,David Ayer,745.6,6.061788617886179,2016.0
87,tt0363771,2014-03-04,2014-03-04,WATCHED. $745.0,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/,Filme,6.9,143,2005,"Aventura, Família, Fantasia",456190,2005-12-09,Andrew Adamson,745.0,5.20979020979021,2005.0
88,tt1453405,2014-03-03,2014-03-03,WATCHED. $743.6,Universidade Monstros,Monsters University,https://www.imdb.com/title/tt1453405/,Filme,7.2,104,2013,"Animação, Aventura, Comédia, Família, Fantasia",422355,2013-06-21,Dan Scanlon,743.6,7.15,2013.0
89,tt0234215,2014-03-03,2014-03-03,$742.1Didn't watch this yet but desperately wanted to watch it.,Matrix Reloaded,The Matrix Reloaded,https://www.imdb.com/title/tt0234215/,Filme,7.2,138,2003,"Ação, Ficção científica",667995,2003-05-23,"Lana Wachowski, Lilly Wachowski",742.1,5.377536231884058,2003.0
90,tt1049413,2014-03-03,2017-07-10,WATCHED. $735.1,Up: Altas Aventuras,Up,https://www.imdb.com/title/tt1049413/,Filme,8.3,96,2009,"Animação, Aventura, Comédia, Drama, Família",1228430,2009-09-04,"Pete Docter, Bob Peterson",735.1,7.657291666666667,2009.0
91,tt1454468,2014-03-03,2016-03-17,WATCHED. $723.2,Gravidade,Gravity,https://www.imdb.com/title/tt1454468/,Filme,7.7,91,2013,"Drama, Ficção científica, Suspense",896927,2013-10-11,Alfonso Cuarón,723.2,7.947252747252747,2013.0
