Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Bilheteria,Bilheteria_por_minuto,Ano_Lancamento
536,tt2452042,2016-01-25,2016-04-05,WILL WATCH. $246.2,"Snoopy & Charlie Brown: Peanuts, o Filme",The Peanuts Movie,https://www.imdb.com/title/tt2452042/,Filme,7.0,88,2015,"Animação, Aventura, Comédia, Drama, Família",53238,2016-01-14,Steve Martino,246.2,2.7977272727272724,2016.0
537,tt1192628,2014-10-26,2014-10-26,WILL WATCH. $245.7,Rango,Rango,https://www.imdb.com/title/tt1192628/,Filme,7.3,107,2011,"Animação, Ação, Aventura, Comédia, Drama, Família, Faroeste",317364,2011-03-09,Gore Verbinski,245.7,2.2962616822429904,2011.0
538,tt0109831,2014-10-26,2014-10-26,WILL WATCH. $245.7,Quatro Casamentos e um Funeral,Four Weddings and a Funeral,https://www.imdb.com/title/tt0109831/,Filme,7.1,117,1994,"Comédia, Drama, Romance",181352,1994-07-06,Mike Newell,245.7,2.1,1994.0
539,tt0119094,2014-10-26,2014-10-26,WILL WATCH. $245.7,A Outra Face,Face/Off,https://www.imdb.com/title/tt0119094/,Filme,7.3,138,1997,"Ação, Policial, Ficção científica, Suspense",425374,1997-08-01,John Woo,245.7,1.7804347826086955,1997.0
540,tt3949660,2016-10-08,2016-10-08,DIDN'T WATCH. $245.6,As Tartarugas Ninja: Fora das Sombras,Teenage Mutant Ninja Turtles: Out of the Shadows,https://www.imdb.com/title/tt3949660/,Filme,5.9,112,2016,"Animação, Ação, Aventura, Comédia, Policial, Fantasia, Ficção científica",106042,2016-06-16,Dave Green,245.6,2.1928571428571426,2016.0
541,tt1077368,2014-10-26,2014-10-26,WATCHED. $245.5,Sombras da Noite,Dark Shadows,https://www.imdb.com/title/tt1077368/,Filme,6.2,113,2012,"Comédia, Fantasia, Terror",293539,2012-06-22,Tim Burton,245.5,2.172566371681416,2012.0
542,tt0286716,2014-10-26,2014-10-26,DIDN'T WATCH. $245.4,Hulk,Hulk,https://www.imdb.com/title/tt0286716/,Filme,5.7,138,2003,"Ação, Ficção científica",291758,2003-06-27,Ang Lee,245.4,1.7782608695652173,2003.0
543,tt1064932,2014-10-26,2014-10-26,DIDN'T WATCH. $245.1,A Riviera Não é Aqui,Bienvenue chez les Ch'tis,https://www.imdb.com/title/tt1064932/,Filme,7.1,106,2008,"Comédia, Romance",47429,2010-04-09,Dany Boon,245.1,2.3122641509433963,2010.0
544,tt0068646,2014-10-26,2014-10-26,DIDN'T WATCH. $245.1,O Poderoso Chefão,The Godfather,https://www.imdb.com/title/tt0068646/,Filme,9.2,175,1972,"Policial, Drama",2213698,1972-09-10,Francis Ford Coppola,245.1,1.4005714285714286,1972.0
545,tt2120120,2015-10-06,2016-08-26,WILL WATCH. $244.9,Pixels,Pixels,https://www.imdb.com/title/tt2120120/,Filme,5.6,105,2015,"Ação, Aventura, Comédia, Fantasia, Ficção científica, Suspense",178195,2015-04-17,Chris Columbus,244.9,2.3323809523809524,2015.0
546,tt1267297,2014-10-26,2015-11-09,WILL WATCH. $244.8,Hércules,Hercules,https://www.imdb.com/title/tt1267297/,Filme,6.0,98,2014,"Ação, Aventura, Fantasia",171389,2014-09-04,Brett Ratner,244.8,2.4979591836734696,2014.0
547,tt5273624,2017-02-23,2017-03-11,DIDN'T WATCH. $244.6,Viagem ao Ocidente: Capítulo Demoníaco,Xi you fu yao pian,https://www.imdb.com/title/tt5273624/,Filme,5.5,109,2017,"Aventura, Comédia, Fantasia",3979,2017-01-28,Hark Tsui,244.6,2.244036697247706,2017.0
548,tt0099088,2014-10-26,2014-10-26,WATCHED. $244.5,De Volta para o Futuro: Parte III,Back to the Future Part III,https://www.imdb.com/title/tt0099088/,Filme,7.5,118,1990,"Aventura, Comédia, Ficção científica, Faroeste",517406,1990-07-13,Robert Zemeckis,244.5,2.0720338983050848,1990.0
549,tt0120812,2014-10-26,2014-10-26,DIDN'T WATCH. $244.4,A Hora do Rush,Rush Hour,https://www.imdb.com/title/tt0120812/,Filme,7.1,98,1998,"Ação, Comédia, Policial, Suspense",326595,1999-01-08,Brett Ratner,244.4,2.4938775510204083,1999.0
550,tt1815862,2014-10-26,2014-10-26,WATCHED. $243.8,Depois da Terra,After Earth,https://www.imdb.com/title/tt1815862/,Filme,4.8,100,2013,"Ação, Aventura, Drama, Ficção científica",216205,2013-06-07,M. Night Shyamalan,243.8,2.438,2013.0
551,tt0104257,2014-10-26,2014-10-26,DIDN'T WATCH. $243.2,Questão de Honra,A Few Good Men,https://www.imdb.com/title/tt0104257/,Filme,7.7,138,1992,"Drama, Suspense",315215,1993-02-22,Rob Reiner,243.2,1.76231884057971,1993.0
552,tt0844471,2014-10-26,2014-10-26,WATCHED. $243.0,Tá Chovendo Hambúrguer,Cloudy with a Chance of Meatballs,https://www.imdb.com/title/tt0844471/,Filme,6.9,90,2009,"Animação, Aventura, Comédia, Família, Fantasia, Ficção científica",283465,2009-10-02,"Phil Lord, Christopher Miller",243.0,2.7,2009.0
553,tt0298203,2014-10-26,2014-10-26,WATCHED. $242.9,8 Mile: Rua das Ilusões,8 Mile,https://www.imdb.com/title/tt0298203/,Filme,7.2,110,2002,"Drama, Musical",349790,2003-03-21,Curtis Hanson,242.9,2.208181818181818,2003.0
554,tt1528854,2016-03-17,2017-04-17,DIDN'T WATCH. $242.8,Pai em Dose Dupla,Daddy's Home,https://www.imdb.com/title/tt1528854/,Filme,6.2,96,2015,"Comédia, Família",138707,2016-01-21,Sean Anders,242.8,2.529166666666667,2016.0
555,tt0822832,2014-10-26,2014-10-26,DIDN'T WATCH. $242.7,Marley & Eu,Marley & Me,https://www.imdb.com/title/tt0822832/,Filme,7.0,111,2008,"Drama, Família",175228,2008-12-25,David Frankel,242.7,2.1864864864864866,2008.0
556,tt1234721,2014-10-26,2014-10-26,WILL WATCH. $242.7,RoboCop,RoboCop,https://www.imdb.com/title/tt1234721/,Filme,6.1,117,2014,"Ação, Policial, Ficção científica, Suspense",248613,2014-02-21,José Padilha,242.7,2.074358974358974,2014.0
557,tt0116213,2014-10-26,2014-10-26,DIDN'T WATCH. $242.3,Queima de Arquivo,Eraser,https://www.imdb.com/title/tt0116213/,Filme,6.2,115,1996,"Ação, Policial, Suspense",123778,1996-07-26,Chuck Russell,242.3,2.1069565217391304,1996.0
558,tt0373051,2014-10-26,2014-10-26,WATCHED. $242.0,Viagem ao Centro da Terra: O Filme,Journey to the Center of the Earth,https://www.imdb.com/title/tt0373051/,Filme,5.8,93,2008,"Ação, Aventura, Família, Fantasia, Ficção científica",140363,2008-07-11,Eric Brevig,242.0,2.6021505376344085,2008.0
559,tt2316204,2017-07-10,2017-11-08,WATCHED. $240.7,Alien: Covenant,Alien: Covenant,https://www.imdb.com/title/tt2316204/,Filme,6.4,122,2017,"Terror, Ficção científica, Suspense",343333,2017-05-11,Ridley Scott,240.7,1.972950819672131,2017.0
560,tt2094766,2017-03-01,2017-04-17,WILL WATCH. $240.8,Assassin's Creed,Assassin's Creed,https://www.imdb.com/title/tt2094766/,Filme,5.6,115,2016,"Ação, Aventura, Ficção científica",218550,2017-01-12,Justin Kurzel,240.8,2.093913043478261,2017.0
561,tt0099423,2014-10-26,2014-10-26,DIDN'T WATCH. $240.0,Duro de Matar 2,Die Hard 2,https://www.imdb.com/title/tt0099423/,Filme,7.2,124,1990,"Ação, Suspense",406130,1990-08-24,Renny Harlin,240.0,1.935483870967742,1990.0
